station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
AIR;01.11.1932 00:00;78.3;36;
AIR;01.12.1932 00:00;137.3;119;
AIR;01.01.1933 00:00;78.6;73;
AIR;01.02.1933 00:00;22.9;28;
AIR;01.03.1933 00:00;125.2;126;
AIR;01.04.1933 00:00;99.6;66;
AIR;01.05.1933 00:00;143.9;78;
AIR;01.06.1933 00:00;295;168;
AIR;01.07.1933 00:00;181.5;136;
AIR;01.08.1933 00:00;29.1;17;
AIR;01.09.1933 00:00;309.9;163;
AIR;01.10.1933 00:00;202.5;93;
AIR;01.11.1933 00:00;251.7;115;
AIR;01.12.1933 00:00;68.3;59;
AIR;01.01.1934 00:00;38.6;36;
AIR;01.02.1934 00:00;69;84;
AIR;01.03.1934 00:00;191;193;
AIR;01.04.1934 00:00;265.8;176;
AIR;01.05.1934 00:00;62.6;34;
AIR;01.06.1934 00:00;114.9;66;
AIR;01.07.1934 00:00;92.4;69;
AIR;01.08.1934 00:00;327.6;187;
AIR;01.09.1934 00:00;45.1;24;
AIR;01.10.1934 00:00;86.3;40;
AIR;01.11.1934 00:00;404.7;184;
AIR;01.12.1934 00:00;141.5;123;
AIR;01.01.1935 00:00;21.8;20;
AIR;01.02.1935 00:00;188.3;230;
AIR;01.03.1935 00:00;25.3;26;
AIR;01.04.1935 00:00;135.7;90;
AIR;01.05.1935 00:00;218.4;119;
AIR;01.06.1935 00:00;204;117;
AIR;01.07.1935 00:00;77.2;58;
AIR;01.08.1935 00:00;435.7;249;
AIR;01.09.1935 00:00;133.5;70;
AIR;01.10.1935 00:00;466.3;215;
AIR;01.11.1935 00:00;410.1;187;
AIR;01.12.1935 00:00;342.3;298;
AIR;01.01.1936 00:00;217.4;203;
AIR;01.02.1936 00:00;99;121;
AIR;01.03.1936 00:00;203.1;205;
AIR;01.04.1936 00:00;195.3;129;
AIR;01.05.1936 00:00;127.3;69;
AIR;01.06.1936 00:00;109.6;63;
